#OTU ID	1003	1004	1027	1049	1053	1058	1077	1084	1087	1102	1105	111	1115	1131	1138	1171	1176	1185	1204	121	1214	1217	1229	1234	124	1262	1264	1271	1275	1295	1320	136	1368	1388	1406	1425	1487	1496	1498	1509	1517	1567	163	176	206	218	219	22	248	277	284	351	358	37	384	399	411	413	444	449	450	463	472	481	490	507	52	522	551	575	664	676	683	709	752	754	82	825	832	835	85	850	853	869	897	918	923	924	951	958	96	963	981	985	986
OTU1007	0	1	1	2	0	0	0	0	0	1	8	2	10	12	0	12	5	0	3	0	27	2	12	2	1	1	0	1	3	2	7	0	1	1	1	9	9	4	3	5	2	52	2	0	0	0	0	1	3	3	0	0	8	6	0	4	0	0	7	0	16	2	2	3	14	0	0	3	0	0	0	0	0	4	1	0	2	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0
OTU1008	2	0	5	5	3	11	2	3	13	1	2	4	4	3	3	6	3	0	6	1	11	3	0	0	8	2	1	7	0	0	0	0	0	0	0	1	3	0	2	0	0	0	5	4	0	12	18	1	6	0	9	17	9	25	13	16	0	10	0	15	33	0	8	5	0	0	0	1	0	0	0	0	0	19	1	0	20	1	5	3	11	5	5	9	2	2	10	2	0	0	1	0	0	3	0
OTU1009	0	0	6	6	3	4	0	3	4	5	0	0	2	3	0	0	2	0	0	0	1	1	0	0	1	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	7	1	5	6	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	5	3	7	13	20	4	1	5	1	0	0	0	0	0	2	2
OTU101	54	26	61	48	53	45	38	33	33	89	97	36	59	113	31	34	30	16	45	21	25	31	3	49	40	326	369	92	70	70	32	5	155	96	42	22	96	120	196	164	95	190	60	47	2	219	55	134	75	32	32	57	566	30	62	181	34	850	67	947	625	22	29	31	63	15	32	15	29	7	12	0	0	235	339	0	213	43	240	154	103	109	151	99	92	57	29	10	24	9	81	18	6	85	15
OTU1010	0	0	1	1	0	1	1	0	3	3	3	0	1	11	2	2	4	16	0	0	0	0	5	31	0	3	6	1	2	3	8	0	11	32	25	7	11	9	18	15	41	113	0	0	8	0	0	92	2	3	0	1	15	0	1	3	17	11	1	30	12	7	1	0	1	2	12	0	21	7	3	0	0	7	16	0	2	1	5	4	1	1	0	0	0	1	0	0	0	0	12	0	0	1	0
OTU1011	3	3	3	3	4	13	0	0	3	7	3	5	5	10	9	1	6	0	0	1	3	1	0	0	5	12	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	15	1	4	0	1	17	17	18	22	13	0	11	0	15	20	0	2	2	2	0	0	1	0	0	0	0	0	30	2	0	7	3	9	6	9	7	14	20	15	1	5	1	1	3	0	0	4	10	4
OTU1012	2	3	0	1	0	3	1	2	3	8	4	3	1	9	0	4	1	0	2	1	4	1	0	0	6	21	17	11	1	0	0	0	1	0	0	0	1	1	1	1	0	1	3	1	0	2	6	3	1	0	0	1	15	4	3	4	0	10	6	4	2	1	0	0	4	0	0	1	0	0	0	0	0	1	3	0	2	2	5	6	0	8	8	16	6	0	0	0	0	0	0	0	0	4	0
OTU1013	0	0	2	1	0	6	3	6	3	0	0	0	2	3	1	3	0	1	3	1	2	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	2	2	5	0	6	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	4	4	2	2	1	4	3	4	1	5	28	0	0	4	1	0	0	2	15	6	8
OTU1014	13	0	5	9	26	3	4	2	1	11	11	3	0	7	1	4	3	1	3	1	2	2	0	0	7	47	64	10	3	4	4	0	3	3	0	4	11	1	9	7	6	6	13	7	2	16	0	8	9	2	6	17	94	3	5	19	0	90	9	137	101	1	6	5	6	0	6	2	1	0	1	0	0	21	46	0	14	2	24	9	12	19	18	5	5	12	2	0	0	2	6	0	0	8	0
OTU1015	11	6	10	7	15	8	5	5	2	6	17	3	2	5	10	0	0	0	4	1	3	0	0	6	1	21	22	3	4	2	1	0	20	7	2	1	19	8	22	17	0	14	7	16	0	25	1	9	17	5	5	3	70	0	12	55	0	97	11	86	58	1	5	4	16	0	0	0	0	0	6	0	0	10	68	0	29	6	40	24	25	3	5	8	11	8	4	2	3	0	0	1	0	1	0
